date,number_sta,precip
2022-01-01,14066001,7.6
2022-01-01,14126001,8.1
2022-01-01,14137001,7.7
2022-01-01,14216001,7.1
2022-01-01,14296001,7.4
2022-01-01,14357002,7.7
2022-01-01,14366002,6.9
2022-01-01,14372001,7.6
2022-01-01,14501002,7.4
2022-01-01,14577003,7.7
2022-01-01,14578001,7.9
2022-01-01,14624001,7.6
2022-01-01,14659001,7.7
2022-01-01,14762004,7.5
2022-01-01,17218001,7.1
2022-01-01,22005003,7.9
2022-01-01,22092001,8.1
2022-01-01,22113006,8.3
2022-01-01,22147006,8.1
2022-01-01,22168001,8.2
2022-01-01,22219003,8.2
2022-01-01,22247002,7.9
2022-01-01,22261002,7.9
2022-01-01,22266001,7.9
2022-01-01,22282001,8.3
2022-01-01,22372001,8.0
2022-01-01,23089001,4.8
2022-01-01,27056003,6.7
2022-01-01,27100001,8.3
2022-01-01,27347001,6.0
2022-01-01,27422001,6.8
2022-01-01,28002001,6.5
2022-01-01,28041001,5.4
2022-01-01,28064002,5.6
2022-01-01,28070001,5.3
2022-01-01,28078001,7.1
2022-01-01,28190001,6.4
2022-01-01,28196003,5.8
2022-01-01,28198001,7.1
2022-01-01,28206001,5.7
2022-01-01,28214003,5.6
2022-01-01,28215001,5.5
2022-01-01,28239002,5.4
2022-01-01,28252002,5.6
2022-01-01,28305001,6.7
2022-01-01,28380003,5.5
2022-01-01,28406001,6.6
2022-01-01,28407001,5.7
2022-01-01,29021001,8.3
2022-01-01,29075001,8.3
2022-01-01,29120001,8.1
2022-01-01,29151004,8.3
2022-01-01,29155005,8.3
2022-01-01,29155008,8.3
2022-01-01,29163003,8.2
2022-01-01,29178001,8.3
2022-01-01,29214001,7.8
2022-01-01,29216001,7.4
2022-01-01,29236001,7.9
2022-01-01,29249002,8.1
2022-01-01,29263002,8.3
2022-01-01,29264001,8.2
2022-01-01,29276001,8.3
2022-01-01,29277001,8.3
2022-01-01,29293001,8.2
2022-01-01,35005001,7.8
2022-01-01,35057003,7.7
2022-01-01,35110003,7.7
2022-01-01,35162003,7.4
2022-01-01,35202001,8.0
2022-01-01,35228001,8.2
2022-01-01,35238003,7.5
2022-01-01,35281001,7.7
2022-01-01,36006004,5.3
2022-01-01,36018004,6.4
2022-01-01,36035002,4.8
2022-01-01,36037001,5.5
2022-01-01,36063001,5.5
2022-01-01,36085001,2.5
2022-01-01,36088004,5.6
2022-01-01,36089003,5.3
2022-01-01,36093002,5.6
2022-01-01,36107001,6.1
2022-01-01,36127002,5.2
2022-01-01,36128001,5.6
2022-01-01,36136001,5.4
2022-01-01,36146001,5.3
2022-01-01,36173002,6.4
2022-01-01,36219001,5.8
2022-01-01,37003004,6.9
2022-01-01,37023002,6.2
2022-01-01,37055002,7.4
2022-01-01,37067003,6.5
2022-01-01,37072002,6.5
2022-01-01,37107001,5.3
2022-01-01,37109001,6.9
2022-01-01,37122003,6.7
2022-01-01,37129002,6.7
2022-01-01,37179001,7.1
2022-01-01,37192001,6.0
2022-01-01,37213003,7.6
2022-01-01,37213004,7.7
2022-01-01,37216002,5.0
2022-01-01,37240001,6.9
2022-01-01,37242002,6.6
2022-01-01,37249001,7.1
2022-01-01,37253001,6.0
2022-01-01,41053001,7.3
2022-01-01,41097001,5.8
2022-01-01,41152001,6.7
2022-01-01,41173003,7.1
2022-01-01,41281001,7.0
2022-01-01,44020001,7.3
2022-01-01,44069002,7.9
2022-01-01,44103001,7.8
2022-01-01,44110002,8.0
2022-01-01,44117002,7.1
2022-01-01,44181001,7.1
2022-01-01,45055001,7.0
2022-01-01,49008001,7.9
2022-01-01,49020001,7.8
2022-01-01,49099003,6.9
2022-01-01,49138001,7.6
2022-01-01,49188001,7.8
2022-01-01,49191001,7.2
2022-01-01,49248003,7.9
2022-01-01,49331003,8.1
2022-01-01,50020001,7.1
2022-01-01,50111001,7.4
2022-01-01,50209001,6.6
2022-01-01,50215002,7.6
2022-01-01,50277001,8.3
2022-01-01,50410003,7.6
2022-01-01,50484002,7.0
2022-01-01,50509002,7.4
2022-01-01,50514001,6.8
2022-01-01,50615001,6.9
2022-01-01,53083001,6.3
