,number_sta,lat,lon,height_sta,zone
0,14137001,49.18,-0.46,67.0,NW
1,14578001,49.36,0.17,143.0,NW
2,22113006,48.76,-3.47,87.0,NW
3,22168001,48.83,-3.47,58.0,NW
4,22372001,48.53,-2.85,135.0,NW
5,27347001,49.03,1.22,138.0,NW
6,28070001,48.46,1.5,156.0,NW
7,28198001,48.06,1.38,127.0,NW
8,29021001,48.68,-4.33,18.0,NW
9,29075001,48.45,-4.38,98.0,NW
10,29120001,48.28,-4.44,83.0,NW
11,29151004,48.6,-3.81,90.0,NW
12,29155005,48.47,-5.06,68.0,NW
13,29155008,48.46,-5.06,39.0,NW
14,29216001,47.97,-4.16,85.0,NW
15,29264001,48.53,-4.15,115.0,NW
16,35228001,48.58,-2.08,65.0,NW
17,35281001,48.07,-1.73,37.0,NW
18,36063001,46.87,1.74,157.0,NW
19,36173002,46.7,1.25,110.0,NW
20,37179001,47.44,0.73,112.0,NW
21,41097001,47.32,1.69,86.0,NW
22,41281001,47.68,1.21,130.0,NW
23,44020001,47.15,-1.61,26.0,NW
24,44103001,47.31,-2.15,4.0,NW
25,45055001,47.99,1.78,125.0,NW
26,49020001,47.48,-0.61,48.0,NW
27,49099003,47.08,-0.88,135.0,NW
28,49188001,47.56,-0.32,53.0,NW
29,50020001,49.73,-1.94,8.0,NW
30,50209001,49.65,-1.46,138.0,NW
31,53130008,48.03,-0.75,100.0,NW
32,56009001,47.29,-3.22,43.0,NW
33,56137001,47.72,-2.73,132.0,NW
34,56185001,47.76,-3.44,44.0,NW
35,61001001,48.45,0.11,145.0,NW
36,62160001,50.73,1.6,68.0,NW
37,62548002,50.96,1.96,3.0,NW
38,62826001,50.51,1.62,20.0,NW
39,72181001,47.94,0.19,52.0,NW
40,76116001,49.38,1.18,152.0,NW
41,76217001,49.93,1.09,40.0,NW
42,76481001,49.53,0.09,95.0,NW
43,76552001,49.51,0.07,104.0,NW
44,79191005,46.32,-0.4,61.0,NW
45,80001001,50.14,1.83,72.0,NW
46,85113001,46.69,-2.33,32.0,NW
47,85191003,46.7,-1.38,91.0,NW
48,86027001,46.59,0.31,120.0,NW
49,1089001,45.98,5.33,252.0,SE
50,3060001,46.17,3.4,251.0,SE
51,4049001,44.06,5.99,461.0,SE
52,5170001,44.452,6.033,600.0,SE
53,5183001,44.88,6.64,1311.0,SE
54,6029001,43.56,6.95,4.0,SE
55,6088001,43.65,7.21,26.0,SE
56,7131001,44.54,4.37,280.0,SE
57,11069001,43.22,2.3,127.0,SE
58,11202001,42.92,3.06,40.0,SE
59,11203004,43.173,2.729,60.0,SE
60,12145001,44.12,3.02,713.0,SE
61,12254001,44.41,2.48,579.0,SE
62,13047001,43.52,4.92,24.0,SE
63,13054001,43.44,5.22,32.0,SE
64,13099001,43.71,5.77,296.0,SE
65,13103001,43.6,5.1,59.0,SE
66,15014004,44.9,2.42,640.0,SE
67,20004002,41.92,8.79,9.0,SE
68,20041001,41.37,9.18,116.0,SE
69,20050001,42.53,8.79,58.0,SE
70,20093002,42.63,8.92,145.0,SE
71,20107001,43.0,9.36,113.0,SE
72,20114002,41.51,9.1,23.0,SE
73,20148001,42.54,9.49,12.0,SE
74,20303002,42.26,9.54,74.0,SE
75,20342001,41.92,9.4,17.0,SE
76,26064001,44.91,4.97,164.0,SE
77,26198001,44.58,4.73,74.0,SE
78,30189001,43.86,4.41,62.0,SE
79,30258001,43.77,4.42,105.0,SE
80,34154001,43.58,3.96,8.0,SE
81,34209002,43.32,3.35,16.0,SE
82,34301002,43.4,3.69,77.0,SE
83,38384001,45.36,5.31,386.0,SE
84,38538002,45.22,5.85,220.0,SE
85,42005001,45.55,4.29,396.0,SE
86,63113001,45.79,3.15,326.0,SE
87,66136001,42.74,2.87,44.0,SE
88,66148001,42.52,3.14,86.0,SE
89,69029001,45.73,4.94,198.0,SE
90,69299001,45.73,5.08,240.0,SE
91,73329001,45.64,5.88,235.0,SE
92,74182001,45.93,6.09,455.0,SE
93,81284001,43.91,2.12,171.0,SE
94,83031001,43.38,6.39,82.0,SE
95,83035001,43.252,5.785,418.0,SE
96,83049005,43.248,6.131,73.0,SE
97,83069001,43.09,6.15,4.0,SE
98,83069003,43.03,6.47,131.0,SE
99,83153001,43.08,5.94,134.0,SE
100,84007005,43.91,4.9,48.0,SE
101,84031001,44.08,5.06,106.0,SE
102,84087001,44.14,4.86,55.0,SE
